timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,expiry_date,instrument_key,trading_day,is_expired
2025-07-09T15:05:00+05:30,67.8,71.3,62.75,69.75,6663225,13303800,2025-07-09 15:05:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T15:10:00+05:30,61.15,64.5,61.15,62.85,7224750,21650925,2025-07-09 15:10:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T15:10:00+05:30,69.75,69.75,65.0,67.25,4674525,12978000,2025-07-09 15:10:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T15:15:00+05:30,62.75,64.8,56.5,58.8,8368275,20025675,2025-07-09 15:15:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T15:15:00+05:30,67.15,72.35,64.0,70.9,7451550,12484500,2025-07-09 15:15:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T15:20:00+05:30,58.95,63.7,58.9,61.4,6853500,18996300,2025-07-09 15:20:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T15:20:00+05:30,70.9,71.25,63.2,65.25,5953950,11248275,2025-07-09 15:20:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T15:25:00+05:30,61.4,62.65,53.7,54.9,9307350,17313750,2025-07-09 15:25:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T15:25:00+05:30,65.15,67.0,60.6,66.95,7109475,10464900,2025-07-09 15:25:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-10T09:15:00+05:30,76.95,90.85,61.8,62.75,11444400,5219250,2025-07-10 09:15:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:15:00+05:30,41.3,42.0,25.5,31.5,22817475,8355525,2025-07-10 09:15:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:20:00+05:30,62.75,62.95,50.95,51.85,13640775,9409275,2025-07-10 09:20:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:20:00+05:30,31.35,44.95,31.3,41.0,27498975,10152225,2025-07-10 09:20:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:25:00+05:30,51.85,58.8,48.0,49.35,12613275,11033700,2025-07-10 09:25:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:25:00+05:30,41.0,49.3,31.8,46.3,20773275,11306325,2025-07-10 09:25:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:30:00+05:30,49.2,54.05,43.8,49.1,15225000,12938700,2025-07-10 09:30:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:30:00+05:30,46.15,58.0,38.5,45.35,28364625,10017150,2025-07-10 09:30:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:35:00+05:30,49.0,54.3,41.1,42.8,14965650,15068625,2025-07-10 09:35:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:35:00+05:30,45.4,55.0,36.65,47.85,23696625,11513775,2025-07-10 09:35:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:40:00+05:30,42.7,48.35,40.65,43.9,11115375,15870000,2025-07-10 09:40:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:40:00+05:30,47.85,56.0,43.75,47.5,14412675,11762625,2025-07-10 09:40:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:45:00+05:30,43.9,51.35,43.3,49.5,12817500,17443200,2025-07-10 09:45:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:45:00+05:30,47.35,49.75,37.35,38.15,12798300,12545100,2025-07-10 09:45:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:50:00+05:30,49.45,50.2,35.2,36.4,18749325,18585450,2025-07-10 09:50:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:50:00+05:30,38.15,68.0,37.55,63.3,27810975,10793025,2025-07-10 09:50:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T09:55:00+05:30,36.3,42.0,34.7,40.35,14222325,19466175,2025-07-10 09:55:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T09:55:00+05:30,63.3,72.0,50.1,51.3,18987900,10611675,2025-07-10 09:55:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:00:00+05:30,40.2,44.0,38.4,41.05,12941325,19558275,2025-07-10 10:00:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:00:00+05:30,51.3,64.7,45.6,57.05,16098900,10759650,2025-07-10 10:00:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:05:00+05:30,41.05,43.8,37.5,39.7,10107375,20415450,2025-07-10 10:05:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:05:00+05:30,56.95,65.0,49.35,59.3,12067650,10485825,2025-07-10 10:05:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:10:00+05:30,39.65,39.65,32.15,34.9,11851050,20880750,2025-07-10 10:10:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:10:00+05:30,59.3,79.0,58.95,67.8,16713975,10362675,2025-07-10 10:10:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:15:00+05:30,34.75,39.2,33.6,37.85,10666650,21766275,2025-07-10 10:15:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:15:00+05:30,67.95,72.35,57.0,57.5,11330325,9905775,2025-07-10 10:15:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:20:00+05:30,37.8,41.35,35.35,40.3,7234350,22006200,2025-07-10 10:20:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:20:00+05:30,57.5,64.75,55.2,56.55,5735700,10018800,2025-07-10 10:20:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:25:00+05:30,40.05,42.0,36.35,39.6,8965725,22187475,2025-07-10 10:25:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:25:00+05:30,56.5,64.0,53.9,57.05,6983025,9992925,2025-07-10 10:25:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:30:00+05:30,39.45,41.95,35.9,36.35,8968425,22166625,2025-07-10 10:30:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:30:00+05:30,56.95,61.6,51.25,58.85,7255725,10535400,2025-07-10 10:30:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:35:00+05:30,36.2,38.7,33.55,36.75,7628850,22527000,2025-07-10 10:35:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:35:00+05:30,58.65,61.85,54.25,56.65,5643675,10729125,2025-07-10 10:35:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:40:00+05:30,36.65,37.8,31.45,33.8,7219650,22793325,2025-07-10 10:40:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:40:00+05:30,56.6,64.25,54.65,61.15,6385500,10580475,2025-07-10 10:40:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:45:00+05:30,33.65,36.2,30.35,31.5,9653175,23568525,2025-07-10 10:45:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:45:00+05:30,61.1,70.9,55.25,69.0,9010650,10376550,2025-07-10 10:45:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:50:00+05:30,31.45,31.5,23.55,24.85,17203200,24541200,2025-07-10 10:50:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:50:00+05:30,69.0,87.0,68.05,76.95,14559075,8474775,2025-07-10 10:50:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T10:55:00+05:30,24.85,27.2,23.8,26.25,8902350,25054200,2025-07-10 10:55:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T10:55:00+05:30,76.8,85.0,72.0,74.95,7198575,8302125,2025-07-10 10:55:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
