SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR,Gross_PnL,Costs
2025-10-08 11:30:00+05:30,2025-10-08 11:35:00+05:30,300,BUY_PE,25150,154.7,2025-10-08 12:05:00+05:30,162.7,Safe SL Hit,162.7,129.7,True,8.0,512.5,600.0,87.5
2025-10-08 12:20:00+05:30,2025-10-08 12:25:00+05:30,300,BUY_PE,25150,180.1,2025-10-08 12:40:00+05:30,155.1,SL Hit,155.1,155.1,False,-25.0,-1962.5,-1875.0,87.5
2025-10-08 13:35:00+05:30,2025-10-08 13:40:00+05:30,300,BUY_CE,25150,104.85,2025-10-08 14:05:00+05:30,85.28,SL Hit,85.28,85.28,False,-19.57,-1555.25,-1467.75,87.5
2025-10-08 14:50:00+05:30,2025-10-08 14:55:00+05:30,300,BUY_CE,25150,72.15,2025-10-08 15:25:00+05:30,63.55,EOD Exit,53.74,53.74,False,-8.6,-732.5,-645.0,87.5
2025-10-09 10:40:00+05:30,2025-10-09 10:45:00+05:30,300,BUY_CE,25100,117.0,2025-10-09 11:00:00+05:30,127.0,Locked Profit Hit,127.0,93.89,True,10.0,662.5,750.0,87.5
2025-10-09 11:05:00+05:30,2025-10-09 11:10:00+05:30,300,BUY_CE,25100,154.85,2025-10-09 11:40:00+05:30,164.85,Locked Profit Hit,164.85,129.85,True,10.0,662.5,750.0,87.5
2025-10-09 11:45:00+05:30,2025-10-09 11:50:00+05:30,300,BUY_CE,25100,164.1,2025-10-09 12:55:00+05:30,139.1,SL Hit,139.1,139.1,False,-25.0,-1962.5,-1875.0,87.5
2025-10-09 14:05:00+05:30,2025-10-09 14:10:00+05:30,300,BUY_CE,25100,153.0,2025-10-09 14:15:00+05:30,130.07,SL Hit,130.07,130.07,False,-22.93,-1807.25,-1719.75,87.5
2025-10-09 14:20:00+05:30,2025-10-09 14:25:00+05:30,300,BUY_PE,25100,60.55,2025-10-09 14:50:00+05:30,49.39,SL Hit,49.39,49.39,False,-11.16,-924.5,-837.0,87.5
2025-10-09 15:00:00+05:30,2025-10-09 15:05:00+05:30,300,BUY_CE,25100,158.1,2025-10-09 15:25:00+05:30,154.1,EOD Exit,133.1,133.1,False,-4.0,-387.5,-300.0,87.5
2025-10-10 10:15:00+05:30,2025-10-10 10:20:00+05:30,300,BUY_CE,25200,181.35,2025-10-10 10:55:00+05:30,190.3,MACD/EMA Exit,189.35,156.35,True,8.95,583.75,671.25,87.5
2025-10-10 11:00:00+05:30,2025-10-10 11:05:00+05:30,300,BUY_CE,25200,195.2,2025-10-10 11:15:00+05:30,203.2,Safe SL Hit,203.2,170.2,True,8.0,512.5,600.0,87.5
2025-10-10 11:50:00+05:30,2025-10-10 11:55:00+05:30,300,BUY_CE,25200,188.65,2025-10-10 12:45:00+05:30,197.65,MACD/EMA Exit,196.65,163.65,True,9.0,587.5,675.0,87.5
2025-10-10 14:55:00+05:30,2025-10-10 15:00:00+05:30,300,BUY_CE,25200,185.25,2025-10-10 15:25:00+05:30,168.4,EOD Exit,161.79,161.79,False,-16.85,-1351.25,-1263.75,87.5
2025-10-13 10:15:00+05:30,2025-10-13 10:20:00+05:30,300,BUY_PE,25200,75.9,2025-10-13 11:20:00+05:30,87.85,MACD/EMA Exit,85.9,50.9,True,11.95,808.75,896.25,87.5
2025-10-13 11:25:00+05:30,2025-10-13 11:30:00+05:30,300,BUY_PE,25200,78.0,2025-10-13 12:55:00+05:30,60.21,SL Hit,60.21,60.21,False,-17.79,-1421.75,-1334.25,87.5
2025-10-13 14:25:00+05:30,2025-10-13 14:30:00+05:30,300,BUY_CE,25200,94.2,2025-10-13 15:00:00+05:30,76.59,SL Hit,76.59,76.59,False,-17.61,-1408.25,-1320.75,87.5
2025-10-14 10:15:00+05:30,2025-10-14 10:20:00+05:30,300,BUY_PE,25300,128.1,2025-10-14 10:30:00+05:30,103.1,SL Hit,103.1,103.1,False,-25.0,-1962.5,-1875.0,87.5
2025-10-14 10:40:00+05:30,2025-10-14 10:45:00+05:30,300,BUY_PE,25300,90.0,2025-10-14 11:35:00+05:30,164.9,ATR Trail Hit,164.9,65.0,True,74.9,5530.0,5617.5,87.5
